title,original_language,genre_list,director_name,release_year,release_date,status,runtime_minutes,is_adult,budget_tier,runtime_bucket,language_group,language_name
Se7en,en,"Thriller,Crime,Mystery",David Fincher,1995,1995-09-22,Released,127,false,3. Mid ($15-75M),3. 120-150 min,English,English
A Knight's Tale,en,"Adventure,Drama,Action,Romance",Brian Helgeland,2001,2001-05-11,Released,133,false,3. Mid ($15-75M),3. 120-150 min,English,English
GTO: Great Teacher Onizuka,ja,"Drama,Comedy",Masayuki Suzuki,1999,1999-12-18,Released,108,false,1. Micro (<$1M),2. 90-120 min,Non-English,Japanese
"Big Mommas: Like Father, Like Son",en,"Action,Comedy,Crime",John Whitesell,2011,2011-02-16,Released,107,false,3. Mid ($15-75M),2. 90-120 min,English,English
Middletown,en,Drama,Brian Kirk,2007,2007-03-02,Released,88,false,1. Micro (<$1M),1. Under 90 min,English,English
Black Demons,it,Horror,Umberto Lenzi,1991,1991-01-05,Released,88,false,1. Micro (<$1M),1. Under 90 min,Non-English,Italian
Hit Me,en,"Thriller,Crime",Michael Kinney,2005,2005-12-20,Released,80,false,1. Micro (<$1M),1. Under 90 min,English,English
Big Fella,en,"Drama,Music",J. Elder Wills,1938,1938-01-03,Released,74,false,1. Micro (<$1M),1. Under 90 min,English,English
Beautiful Boy,en,Drama,Felix van Groeningen,2018,2018-10-12,Released,121,false,3. Mid ($15-75M),3. 120-150 min,English,English
Palaban,tl,"Adventure,Action",Toto Natividad,2000,2000-03-01,Released,90,false,1. Micro (<$1M),2. 90-120 min,Non-English,Tagalog
Bobcat Moretti,en,Drama,Rob Margolies,2023,2023-08-04,Released,96,false,1. Micro (<$1M),2. 90-120 min,English,English
Kulong,tl,Drama,Sigrid Polon,2024,2024-05-24,Released,48,false,1. Micro (<$1M),1. Under 90 min,Non-English,Tagalog
Vaginette Club,fr,"Drama,Comedy",Jordan Brandao Rodrigues,2021,2021-11-25,Released,28,false,1. Micro (<$1M),1. Under 90 min,Non-English,French
Paradise Now,en,"Drama,Thriller,Crime,War",Hany Abu-Assad,2005,2005-09-07,Released,90,false,2. Low ($1-15M),2. 90-120 min,English,English
Lolita,en,"Drama,Comedy",Stanley Kubrick,1962,1962-06-13,Released,154,false,2. Low ($1-15M),4. 150-180 min,English,English
Duplex,en,Comedy,Danny DeVito,2003,2003-09-26,Released,89,false,3. Mid ($15-75M),1. Under 90 min,English,English
Old Boys,en,Comedy,Toby MacDonald,2018,2018-06-22,Released,96,false,1. Micro (<$1M),2. 90-120 min,English,English
Podskalák,cs,Comedy,Přemysl Pražský,1929,1929-03-15,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Cassex,en,"Fantasy,Horror",Lindsey Schmitz,2021,2021-06-19,Released,67,false,1. Micro (<$1M),1. Under 90 min,English,English
Bye Luna,en,"",Alexis Duran,2019,2019-05-14,Released,4,false,1. Micro (<$1M),1. Under 90 min,English,English
Qifarah,ms,"Horror,Thriller",Ghaz Abu Bakar,2025,2025-10-09,Released,94,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Brooklyn's Finest,en,"Drama,Thriller,Crime",Antoine Fuqua,2010,2010-03-04,Released,132,false,3. Mid ($15-75M),3. 120-150 min,English,English
Fubar II,en,Comedy,Michael Dowse,2010,2010-10-01,Released,85,false,1. Micro (<$1M),1. Under 90 min,English,English
Student Services,fr,Drama,Emmanuelle Bercot,2010,2010-01-18,Released,101,false,1. Micro (<$1M),2. 90-120 min,Non-English,French
Snackbar,nl,Drama,Meral Uslu,2012,2012-04-05,Released,86,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Claws,en,"Horror,Thriller",Robert E. Pearson,1977,1977-01-01,Released,100,false,1. Micro (<$1M),2. 90-120 min,English,English
The Danish Girl,en,Drama,Tom Hooper,2015,2015-11-27,Released,119,false,3. Mid ($15-75M),2. 90-120 min,English,English
Kamen Rider Ex-Aid Trilogy: Another Ending - Kamen Rider Para-DX with Poppy,ja,"Adventure,Action,Science Fiction",Nobuhiro Suzumura,2018,2018-02-17,Released,53,false,1. Micro (<$1M),1. Under 90 min,Non-English,Japanese
Bombshell,en,Drama,Jay Roach,2019,2019-12-13,Released,109,false,3. Mid ($15-75M),2. 90-120 min,English,English
365 Days,pl,"Drama,Romance",Barbara Białowąs,2020,2020-02-07,Released,114,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Mars,en,"Animation,Comedy,Science Fiction",Sevan Najarian,2024,2024-06-06,Released,84,false,1. Micro (<$1M),1. Under 90 min,English,English
Thunderbirds,en,"Adventure,Action,Comedy,Family",Jonathan Frakes,2004,2004-07-23,Released,95,false,3. Mid ($15-75M),2. 90-120 min,English,English
Monsters University,en,"Animation,Family",Dan Scanlon,2013,2013-06-19,Released,104,false,5. Blockbuster ($150M+),2. 90-120 min,English,English
Silence,en,"Drama,History",Martin Scorsese,2016,2016-12-23,Released,161,false,3. Mid ($15-75M),4. 150-180 min,English,English
The McMasters,en,"Western,War",Alf Kjellin,1970,1970-04-23,Released,90,false,1. Micro (<$1M),2. 90-120 min,English,English
Progeny,en,"Horror,Science Fiction",Brian Yuzna,1998,1998-03-30,Released,98,false,2. Low ($1-15M),2. 90-120 min,English,English
Pitch Perfect 3,en,"Comedy,Music",Trish Sie,2017,2017-12-20,Released,93,false,3. Mid ($15-75M),2. 90-120 min,English,English
Contrasangre,es,"Drama,Crime,Mystery",Nacho Garassino,2015,2015-11-26,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Spanish
Instant,en,"Thriller,Science Fiction",Alex Albrecht,2018,2018-07-19,Released,21,false,1. Micro (<$1M),1. Under 90 min,English,English
Lucy & Janie,en,"",Jewel Greenberg,2013,2013-08-14,Released,5,false,1. Micro (<$1M),1. Under 90 min,English,English
Technoboys,es,"Comedy,Music",Luis Gerardo Méndez,2024,2024-09-05,Released,109,false,1. Micro (<$1M),2. 90-120 min,Non-English,Spanish
Holy Cash,en,"Drama,Comedy",Paul Rodríguez,2024,2024-10-11,Released,94,false,2. Low ($1-15M),2. 90-120 min,English,English
Gremlins 2: The New Batch,en,"Fantasy,Horror,Comedy",Joe Dante,1990,1990-06-15,Released,106,false,3. Mid ($15-75M),2. 90-120 min,English,English
The Mummy: Tomb of the Dragon Emperor,en,"Adventure,Fantasy,Action",Rob Cohen,2008,2008-07-01,Released,112,false,4. High ($75-150M),2. 90-120 min,English,English
Madigan,en,"Drama,Thriller,Crime",Don Siegel,1968,1968-03-29,Released,101,false,1. Micro (<$1M),2. 90-120 min,English,English
[REC],es,"Horror,Mystery",Jaume Balagueró,2007,2007-11-23,Released,78,false,2. Low ($1-15M),1. Under 90 min,Non-English,Spanish
Zus & Zo,nl,Comedy,Paula van der Oest,2002,2002-05-08,Released,106,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Girl Happy,en,"Comedy,Music,Romance",Boris Sagal,1965,1965-04-01,Released,96,false,1. Micro (<$1M),2. 90-120 min,English,English
Total Eclipse,en,"Drama,Romance",Agnieszka Holland,1995,1995-11-03,Released,111,false,1. Micro (<$1M),2. 90-120 min,English,English
Hide,en,"Horror,Action,Mystery",K.C. Bascombe,2008,2008-12-17,Released,96,false,1. Micro (<$1M),2. 90-120 min,English,English
Suckerpunch,en,Comedy,Jeff Chan,2010,2010-03-30,Released,28,false,1. Micro (<$1M),1. Under 90 min,English,English
R.I.P.D.,en,"Fantasy,Action,Comedy",Robert Schwentke,2013,2013-07-18,Released,96,false,4. High ($75-150M),2. 90-120 min,English,English
The Lorax,en,"Animation,Family",Chris Renaud,2012,2012-03-01,Released,86,false,3. Mid ($15-75M),1. Under 90 min,English,English
Old Scores,en,Comedy,Alan Clayton,1991,1991-01-01,Released,93,false,1. Micro (<$1M),2. 90-120 min,English,English
The Huntsman: Winter's War,en,"Adventure,Drama,Action",Cedric Nicolas-Troyan,2016,2016-04-06,Released,114,false,4. High ($75-150M),2. 90-120 min,English,English
Pity,en,"Drama,Horror,Thriller",John Pata,2014,2014-03-08,Released,7,false,1. Micro (<$1M),1. Under 90 min,English,English
Emma,es,"Adventure,Drama",Julio Bárcenas,2019,2019-10-08,Released,90,false,1. Micro (<$1M),2. 90-120 min,Non-English,Spanish
Billie Eilish: The World's a Little Blurry,en,"Documentary,Music",R. J. Cutler,2021,2021-02-26,Released,140,false,1. Micro (<$1M),3. 120-150 min,English,English
Shortcut,en,"Adventure,Fantasy,Horror",Alessio Liguori,2020,2020-09-25,Released,80,false,2. Low ($1-15M),1. Under 90 min,English,English
For Elsie,en,"Drama,Comedy,Thriller",David Winstone,2012,2012-04-26,Released,23,false,1. Micro (<$1M),1. Under 90 min,English,English
Locked,en,"Horror,Thriller",David Yarovesky,2025,2025-03-20,Released,95,false,3. Mid ($15-75M),2. 90-120 min,English,English
Pillion,en,"Drama,Comedy,Romance",Harry Lighton,2025,2025-11-28,Released,107,false,1. Micro (<$1M),2. 90-120 min,English,English
Sniper: The Last Stand,en,"Action,Thriller",Danishka Esterhazy,2025,2025-01-21,Released,99,false,1. Micro (<$1M),2. 90-120 min,English,English
La Celda de los Milagros,en,Drama,Ana Lorena Pérez Ríos,2025,2025-12-25,Released,100,false,1. Micro (<$1M),2. 90-120 min,English,English
The Adventures of Sharkboy and Lavagirl,en,"Adventure,Science Fiction,Family",Robert Rodriguez,2005,2005-06-10,Released,92,false,3. Mid ($15-75M),2. 90-120 min,English,English
Chéri,en,"Drama,Comedy,Romance",Stephen Frears,2009,2009-04-08,Released,86,false,3. Mid ($15-75M),1. Under 90 min,English,English
Red Hot,en,Drama,Paul Haggis,1993,1993-06-23,Released,95,false,1. Micro (<$1M),2. 90-120 min,English,English
ThanksKilling,en,"Horror,Comedy",Jordan Downey,2008,2008-12-08,Released,67,false,1. Micro (<$1M),1. Under 90 min,English,English
Olympus Has Fallen,en,"Action,Thriller",Antoine Fuqua,2013,2013-03-20,Released,120,false,3. Mid ($15-75M),3. 120-150 min,English,English
Doppelganger,en,"Comedy,Thriller,Science Fiction",Gareth Smith,2001,2001-04-21,Released,14,false,1. Micro (<$1M),1. Under 90 min,English,English
Souvenir,en,Drama,Michael H. Shamberg,1996,1996-06-13,Released,74,false,1. Micro (<$1M),1. Under 90 min,English,English
Alleycats,en,"Action,Thriller",Ian Bonhôte,2016,2016-06-23,Released,101,false,1. Micro (<$1M),2. 90-120 min,English,English
Mantis,ko,"Action,Thriller,Crime",Lee Tae-sung,2025,2025-09-25,Released,113,false,1. Micro (<$1M),2. 90-120 min,Non-English,Korean
Atonement,en,"Drama,Romance",Joe Wright,2007,2007-02-27,Released,123,false,3. Mid ($15-75M),3. 120-150 min,English,English
America Exposed,en,Documentary,Romano Vanderbes,1991,1991-06-13,Released,101,false,1. Micro (<$1M),2. 90-120 min,English,English
Taxi-Turvy,en,"Animation,Comedy",Seymour Kneitel,1954,1954-06-04,Released,6,false,1. Micro (<$1M),1. Under 90 min,English,English
Black Forest,de,Thriller,Gert Steinheimer,2010,2010-04-16,Released,79,false,1. Micro (<$1M),1. Under 90 min,Non-English,German
Robin Hood,en,"Adventure,Fantasy,Action,Thriller",Otto Bathurst,2018,2018-11-03,Released,116,false,4. High ($75-150M),2. 90-120 min,English,English
Coming 2 America,en,Comedy,Craig Brewer,2021,2021-03-04,Released,108,false,3. Mid ($15-75M),2. 90-120 min,English,English
The Porter,tr,"Drama,Action",Fikret Hakan,1976,1976-01-01,Released,76,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Ariel,fi,"Drama,Comedy,Crime,Romance",Aki Kaurismäki,1988,1988-10-21,Released,73,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Cinderella II: Dreams Come True,en,"Fantasy,Animation,Romance,Family",John Kafka,2002,2002-02-23,Released,74,false,2. Low ($1-15M),1. Under 90 min,English,English
Eichmann,en,"Drama,History",Robert Young,2007,2007-09-22,Released,100,false,2. Low ($1-15M),2. 90-120 min,English,English
Lou,en,"Fantasy,Animation,Comedy,Family",Dave Mullins,2017,2017-06-16,Released,6,false,1. Micro (<$1M),1. Under 90 min,English,English
Kamen Rider × Super Sentai: Ultra Super Hero Wars,ja,"Adventure,Action,Science Fiction",Osamu Kaneda,2017,2017-03-25,Released,95,false,1. Micro (<$1M),2. 90-120 min,Non-English,Japanese
The Boss Baby: Family Business,en,"Adventure,Animation,Comedy,Family",Tom McGrath,2021,2021-07-01,Released,107,false,4. High ($75-150M),2. 90-120 min,English,English
The Garfield Movie,en,"Adventure,Animation,Comedy,Family",Mark Dindal,2024,2024-04-30,Released,101,false,3. Mid ($15-75M),2. 90-120 min,English,English
Diner,en,"Drama,Comedy,TV Movie",Barry Levinson,1983,1983-08-08,Released,24,false,1. Micro (<$1M),1. Under 90 min,English,English
Rambo,hi,Action,Rohit Dhawan,2025,2025-01-01,Canceled,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Hindi
Master,lv,Drama,Janis Streics,1977,1977-01-06,Released,73,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
The Order,en,"Action,Crime,Science Fiction",Nick Gillard,2016,2016-07-12,Released,0,false,1. Micro (<$1M),1. Under 90 min,English,English
Sanda,ro,"Drama,Romance,Family",Cristiana Nicolae,1990,1990-01-01,Released,86,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Kasalo,tl,"Drama,Romance",Howard Yambao,2024,2024-03-26,Released,48,false,1. Micro (<$1M),1. Under 90 min,Non-English,Tagalog
Aliens vs Predator: Requiem,en,"Horror,Action,Thriller,Science Fiction",Greg Strause,2007,2007-12-25,Released,94,false,3. Mid ($15-75M),2. 90-120 min,English,English
The Matrix Revolutions,en,"Adventure,Action,Thriller,Science Fiction",Lilly Wachowski,2003,2003-11-05,Released,129,false,5. Blockbuster ($150M+),3. 120-150 min,English,English
Cheeky,it,"Drama,Comedy,Romance",Tinto Brass,2000,2000-01-28,Released,91,false,2. Low ($1-15M),2. 90-120 min,Non-English,Italian
Girl Shy,en,"Comedy,Romance",Fred C. Newmeyer,2024,2024-04-20,Released,80,false,1. Micro (<$1M),1. Under 90 min,English,English
Pelicanman,fi,"Adventure,Fantasy,Family",Liisa Helminen,2004,2004-12-17,Released,90,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Hidden Lives,tr,"Drama,Family",A. Halûk Ünal,2011,2011-03-11,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Argo,en,"Drama,Thriller",Ben Affleck,2012,2012-10-11,Released,120,false,3. Mid ($15-75M),3. 120-150 min,English,English
Mad Max: Fury Road,en,"Adventure,Action,Science Fiction",George Miller,2015,2015-05-13,Released,121,false,5. Blockbuster ($150M+),3. 120-150 min,English,English
Winter Love,en,Drama,William W. Wall,1972,1972-02-01,Released,0,false,1. Micro (<$1M),1. Under 90 min,English,English
Hello Herman,en,Drama,Michelle Danner,2013,2013-06-07,Released,88,false,2. Low ($1-15M),1. Under 90 min,English,English
Dragstrip Girl,en,"Drama,TV Movie",Mary Lambert,1994,1994-09-02,Released,82,false,1. Micro (<$1M),1. Under 90 min,English,English
Mehbooba,hi,"Drama,Romance",Afzal Khan,2008,2008-07-11,Released,171,false,1. Micro (<$1M),4. 150-180 min,Non-English,Hindi
Valerian and the City of a Thousand Planets,en,"Adventure,Action,Science Fiction",Luc Besson,2017,2017-07-19,Released,137,false,5. Blockbuster ($150M+),3. 120-150 min,English,English
Charming,en,"Adventure,Fantasy,Animation,Comedy,Music,Romance,Family",Ross Venokur,2018,2018-03-26,Released,90,false,3. Mid ($15-75M),2. 90-120 min,English,English
Good Funk,en,"Drama,Family",Adam Kritzer,2015,2015-07-24,Released,73,false,1. Micro (<$1M),1. Under 90 min,English,English
The Voyeurs,en,Thriller,Michael Mohan,2021,2021-08-25,Released,117,false,1. Micro (<$1M),2. 90-120 min,English,English
Napoleon,en,"History,Romance,War",Ridley Scott,2023,2023-11-22,Released,158,false,5. Blockbuster ($150M+),4. 150-180 min,English,English
TÁR,en,"Drama,Music",Todd Field,2022,2022-09-23,Released,158,false,3. Mid ($15-75M),4. 150-180 min,English,English
Exterritorial,de,"Action,Thriller",Christian Zübert,2025,2025-04-29,Released,109,false,1. Micro (<$1M),2. 90-120 min,Non-English,German
Jupiter Ascending,en,"Fantasy,Action,Science Fiction",Lana Wachowski,2015,2015-02-04,Released,127,false,5. Blockbuster ($150M+),3. 120-150 min,English,English
The House That Jack Built,en,"Drama,Horror,Thriller,Crime",Lars von Trier,2018,2018-10-04,Released,152,false,2. Low ($1-15M),4. 150-180 min,English,English
Sugar!,en,"Drama,Music",Shari Berman,2017,2017-09-12,Released,94,false,1. Micro (<$1M),2. 90-120 min,English,English
Otome wa Boku ni Koishiteru Special,ja,"Animation,Comedy,Romance","",2007,2007-04-21,Released,24,false,1. Micro (<$1M),1. Under 90 min,Non-English,Japanese
Oluf,no,Comedy,Lennart Lidström,1990,1990-04-28,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Solar Lands,es,Documentary,Laura Hojman,2019,2019-10-02,Released,81,false,1. Micro (<$1M),1. Under 90 min,Non-English,Spanish
Filip,pl,"Drama,History,War",Michał Kwieciński,2023,2023-03-03,Released,119,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Mustache,en,"Drama,Comedy",Imran J. Khan,2023,2023-03-12,Released,81,false,1. Micro (<$1M),1. Under 90 min,English,English
The Virgin Suicides,en,"Drama,Romance",Sofia Coppola,2000,2000-04-21,Released,97,false,2. Low ($1-15M),2. 90-120 min,English,English
Zombie Strippers!,en,"Horror,Comedy,Science Fiction",Jay Lee,2008,2008-04-18,Released,94,false,1. Micro (<$1M),2. 90-120 min,English,English
A Swedish Midsummer Sex Comedy,sv,Comedy,Ian McCrudden,2009,2009-10-02,Released,86,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Maléfique,fr,"Fantasy,Horror,Mystery",Eric Valette,2003,2003-05-07,Released,90,false,2. Low ($1-15M),2. 90-120 min,Non-English,French
Self/less,en,"Action,Thriller,Science Fiction",Tarsem Singh,2015,2015-07-10,Released,117,false,3. Mid ($15-75M),2. 90-120 min,English,English
Snatchers,en,"Horror,Comedy,Science Fiction",Benji Kleiman,2019,2019-03-12,Released,97,false,1. Micro (<$1M),2. 90-120 min,English,English
Skin,en,Documentary,Daniel Effiong,2019,2019-03-01,Released,76,false,1. Micro (<$1M),1. Under 90 min,English,English
Shortcomings,en,"Drama,Comedy,Romance",Randall Park,2023,2023-08-04,Released,92,false,1. Micro (<$1M),2. 90-120 min,English,English
ICAC: Investigation,cn,"",Ann Hui,1978,1978-03-01,Released,55,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
High Ground,en,"Action,Thriller,Crime",James Bamford,2025,2025-03-17,Released,92,false,1. Micro (<$1M),2. 90-120 min,English,English
The Bourne Ultimatum,en,"Drama,Action,Thriller,Mystery",Paul Greengrass,2007,2007-08-03,Released,115,false,3. Mid ($15-75M),2. 90-120 min,English,English
Air Bud,en,"Comedy,Family",Charles Martin Smith,1997,1997-08-01,Released,98,false,2. Low ($1-15M),2. 90-120 min,English,English
Abduction,en,"Action,Thriller,Mystery",John Singleton,2011,2011-09-22,Released,106,false,3. Mid ($15-75M),2. 90-120 min,English,English
Super Model,cn,Comedy,Vincent Kok Tak-Chiu,2004,2004-06-17,Released,105,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Endless,en,"Fantasy,Drama,Romance",Scott Speer,2020,2020-04-09,Released,95,false,1. Micro (<$1M),2. 90-120 min,English,English
David,en,"Drama,Comedy",Zach Woods,2020,2020-09-10,Released,11,false,1. Micro (<$1M),1. Under 90 min,English,English
Sirāt,es,"Drama,Thriller,Music",Oliver Laxe,2025,2025-06-06,Released,115,false,2. Low ($1-15M),2. 90-120 min,Non-English,Spanish
Hubbard Street,en,"Drama,Horror,Comedy,Crime",Craig J. Williams,2025,2025-06-07,Released,100,false,1. Micro (<$1M),2. 90-120 min,English,English
Sulutan,tl,Drama,Rodante Pajemna Jr.,2026,2026-01-20,Released,72,false,1. Micro (<$1M),1. Under 90 min,Non-English,Tagalog
Freaked,en,"Horror,Comedy,Science Fiction",Tom Stern,1993,1993-10-01,Released,80,false,2. Low ($1-15M),1. Under 90 min,English,English
Daybreakers,en,"Fantasy,Action,Science Fiction",Michael Spierig,2010,2010-01-06,Released,98,false,3. Mid ($15-75M),2. 90-120 min,English,English
Deadgirl,en,"Horror,Thriller",Marcel Sarmiento,2008,2008-09-06,Released,101,false,1. Micro (<$1M),2. 90-120 min,English,English
The Tesseract,en,"Drama,Thriller",Oxide Pang Chun,2005,2005-06-09,Released,93,false,1. Micro (<$1M),2. 90-120 min,English,English
The Beaver,en,Drama,Jodie Foster,2011,2011-05-05,Released,91,false,3. Mid ($15-75M),2. 90-120 min,English,English
Brotherly Love,en,Drama,J. Lee Thompson,1970,1970-01-07,Released,107,false,1. Micro (<$1M),2. 90-120 min,English,English
Tera Intezaar,hi,"Thriller,Romance",Raajeev Walia,2017,2017-12-01,Released,108,false,1. Micro (<$1M),2. 90-120 min,Non-English,Hindi
Peridot,en,"Drama,Romance",Shayne Pax,2022,2022-10-04,Released,63,false,1. Micro (<$1M),1. Under 90 min,English,English
Gurl,en,Drama,Mika X.,2020,2020-07-26,Released,20,false,1. Micro (<$1M),1. Under 90 min,English,English
Unwelcome,en,"Fantasy,Horror",Jon Wright,2023,2023-01-27,Released,104,false,1. Micro (<$1M),2. 90-120 min,English,English
L'amerloque,fr,Comedy,Jean-Claude Sussfeld,1996,1996-09-11,Released,90,false,1. Micro (<$1M),2. 90-120 min,Non-English,French
Laila,te,"Comedy,Romance",Ram Narayan,2025,2025-02-14,Released,134,false,1. Micro (<$1M),3. 120-150 min,Non-English,Other
Metropolis,de,"Drama,Science Fiction",Fritz Lang,1927,1927-01-10,Released,148,false,2. Low ($1-15M),3. 120-150 min,Non-English,German
Kung Fu Panda,en,"Animation,Action,Comedy,Family",Mark Osborne,2008,2008-06-04,Released,90,false,4. High ($75-150M),2. 90-120 min,English,English
Alice in Wonderland,en,"Adventure,Fantasy,Family",Tim Burton,2010,2010-03-03,Released,108,false,5. Blockbuster ($150M+),2. 90-120 min,English,English
Immortals,en,"Fantasy,Drama,Action",Tarsem Singh,2011,2011-11-10,Released,110,false,4. High ($75-150M),2. 90-120 min,English,English
Mokey,en,Drama,Wells Root,1942,1942-04-01,Released,88,false,1. Micro (<$1M),1. Under 90 min,English,English
Star Wars: The Last Jedi,en,"Adventure,Action,Science Fiction",Rian Johnson,2017,2017-12-13,Released,152,false,5. Blockbuster ($150M+),4. 150-180 min,English,English
Seetharama Raju,te,"Drama,Action",Y. V. S. Chowdary,1999,1999-02-05,Released,166,false,1. Micro (<$1M),4. 150-180 min,Non-English,Other
Jens Langkniv,da,History,Søren Melson,1940,1940-02-05,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Hot Bot,en,"Comedy,Science Fiction",Michael Polish,2016,2016-03-01,Released,86,false,1. Micro (<$1M),1. Under 90 min,English,English
Monster Hunter,en,"Adventure,Fantasy,Action",Paul W. S. Anderson,2020,2020-12-03,Released,103,false,3. Mid ($15-75M),2. 90-120 min,English,English
Shart,hi,"Drama,Horror,Thriller,Mystery",Ketan Anand,1986,1986-02-21,Released,135,false,1. Micro (<$1M),3. 120-150 min,Non-English,Hindi
Gagarine,fr,"Fantasy,Drama",Jérémy Trouilh,2020,2020-11-11,Released,95,false,1. Micro (<$1M),2. 90-120 min,Non-English,French
"I, the Executioner",ko,"Action,Comedy,Crime",Ryoo Seung-wan,2024,2024-09-13,Released,118,false,1. Micro (<$1M),2. 90-120 min,Non-English,Korean
This Is What I Remember,ky,Drama,Aktan Arym Kubat,2023,2023-09-21,Released,105,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Trap,en,"Horror,Thriller,Crime",M. Night Shyamalan,2024,2024-07-31,Released,105,false,3. Mid ($15-75M),2. 90-120 min,English,English
Freakier Friday,en,"Fantasy,Comedy,Family",Nisha Ganatra,2025,2025-08-06,Released,110,false,3. Mid ($15-75M),2. 90-120 min,English,English
Hot Fuzz,en,"Action,Comedy,Crime",Edgar Wright,2007,2007-02-14,Released,121,false,2. Low ($1-15M),3. 120-150 min,English,English
The Punisher,en,"Drama,Action,Crime",Jonathan Hensleigh,2004,2004-04-15,Released,124,false,3. Mid ($15-75M),3. 120-150 min,English,English
Needful Things,en,"Drama,Horror",Fraser Clarke Heston,1993,1993-08-27,Released,121,false,1. Micro (<$1M),3. 120-150 min,English,English
Suspiria,it,Horror,Dario Argento,1977,1977-02-01,Released,99,false,1. Micro (<$1M),2. 90-120 min,Non-English,Italian
The Taking of Pelham 1 2 3,en,"Action,Thriller,Crime",Tony Scott,2009,2009-06-10,Released,106,false,4. High ($75-150M),2. 90-120 min,English,English
All Ladies Do It,it,"Drama,Comedy",Tinto Brass,1992,1992-02-21,Released,93,false,1. Micro (<$1M),2. 90-120 min,Non-English,Italian
Gulliver's Travels,en,"Adventure,Fantasy,Comedy,Family",Rob Letterman,2010,2010-12-23,Released,85,false,4. High ($75-150M),1. Under 90 min,English,English
Poltergeist,en,Horror,Gil Kenan,2015,2015-05-20,Released,93,false,3. Mid ($15-75M),2. 90-120 min,English,English
The Deer,eu,Drama,Koldo Almandoz,2018,2018-09-28,Released,88,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Boy Kodyak,tl,Action,Ishmael Bernal,1979,1979-02-23,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Tagalog
Is This Thing On?,en,"Drama,Comedy",Bradley Cooper,2025,2025-12-19,Released,121,false,1. Micro (<$1M),3. 120-150 min,English,English
Spider-Man,en,"Action,Science Fiction",Sam Raimi,2002,2002-05-01,Released,121,false,4. High ($75-150M),3. 120-150 min,English,English
A Generation,pl,"Drama,War",Andrzej Wajda,1955,1955-01-26,Released,87,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Jack and Jill,en,"Comedy,Family",Dennis Dugan,2011,2011-11-11,Released,91,false,4. High ($75-150M),2. 90-120 min,English,English
Regression,en,"Horror,Thriller,Mystery",Alejandro Amenábar,2015,2015-10-01,Released,106,false,3. Mid ($15-75M),2. 90-120 min,English,English
Kill Bill: The Whole Bloody Affair,en,"Action,Crime",Quentin Tarantino,2011,2011-03-27,Released,247,false,3. Mid ($15-75M),5. 180+ min,English,English
Godzilla: Planet of the Monsters,ja,"Animation,Action,Science Fiction",Hiroyuki Seshita,2017,2017-11-17,Released,89,false,1. Micro (<$1M),1. Under 90 min,Non-English,Japanese
The Testament of Sister New Devil: Departures,ja,"Fantasy,Animation,Action,Romance",Hisashi Saito,2018,2018-01-27,Released,60,false,1. Micro (<$1M),1. Under 90 min,Non-English,Japanese
Shirley,en,"Drama,Thriller,Mystery",Josephine Decker,2020,2020-09-11,Released,107,false,1. Micro (<$1M),2. 90-120 min,English,English
Once,en,"Drama,Music,Romance",John Carney,2007,2007-03-23,Released,85,false,1. Micro (<$1M),1. Under 90 min,English,English
The Torture Club,ja,"Drama,Comedy",Kōta Yoshida,2014,2014-07-19,Released,97,false,1. Micro (<$1M),2. 90-120 min,Non-English,Japanese
Daddy's Home 2,en,Comedy,Sean Anders,2017,2017-11-09,Released,100,false,3. Mid ($15-75M),2. 90-120 min,English,English
Splatter,en,Horror,Joe Dante,2009,2009-10-29,Released,29,false,1. Micro (<$1M),1. Under 90 min,English,English
Unhinged,en,"Horror,Action,Thriller",Derrick Borte,2020,2020-07-16,Released,90,false,3. Mid ($15-75M),2. 90-120 min,English,English
The Pope's Exorcist,en,"Horror,Thriller",Julius Avery,2023,2023-04-05,Released,103,false,3. Mid ($15-75M),2. 90-120 min,English,English
